question_key,role_key,role_label,step_number,step_name,question_number,question_text,scale_type,option_1,option_2,option_3,option_4,option_5,required,version
owner_01,owner,"센터장·원장",1,"운영 현황",1,"트레이너별 상담·기록 방식의 차이가 센터 운영 품질에 영향을 준다고 생각합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_02,owner,"센터장·원장",1,"운영 현황",2,"재등록 상담 시 회원의 변화를 보여줄 자료가 부족한 경우가 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_03,owner,"센터장·원장",1,"운영 현황",3,"회원 기록이 담당 트레이너 개인에게 분산되어 관리에 어려움이 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_04,owner,"센터장·원장",2,"필요 기능",4,"회원 상담 기록을 한 화면에서 확인할 수 있는 기능의 필요도",need_5,"매우 낮음","낮음","보통","높음","매우 높음",TRUE,2026-07
owner_05,owner,"센터장·원장",2,"필요 기능",5,"운동 기록을 상담용 리포트로 정리하는 기능의 필요도",need_5,"매우 낮음","낮음","보통","높음","매우 높음",TRUE,2026-07
owner_06,owner,"센터장·원장",2,"필요 기능",6,"트레이너별 상담 품질을 확인하는 기능의 필요도",need_5,"매우 낮음","낮음","보통","높음","매우 높음",TRUE,2026-07
owner_07,owner,"센터장·원장",3,"리포트 기준",7,"리포트에 운동 목표와 변화 추이가 명확히 제시되어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_08,owner,"센터장·원장",3,"리포트 기준",8,"리포트는 트레이너의 최종 검토 후 전달되어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_09,owner,"센터장·원장",3,"리포트 기준",9,"센터의 상담 기준과 표현을 통일하는 데 리포트가 도움이 될 수 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_10,owner,"센터장·원장",4,"신뢰와 운영",10,"회원 정보의 접근 권한과 보관 기준이 명확해야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_11,owner,"센터장·원장",4,"신뢰와 운영",11,"도입 후에도 트레이너가 쉽게 사용할 수 있어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_12,owner,"센터장·원장",4,"신뢰와 운영",12,"리포트 생성 시간이 짧아야 현장 적용이 가능하다고 생각합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_13,owner,"센터장·원장",5,"도입 의향",13,"완성도 높은 상담 리포트 시스템이라면 시험 사용을 검토할 의향이 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
